,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
62,1.0,0.0,3.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
63,2.0,1.0,1.0,0.0,0.0,1.4,1.0,4.2,1.0,12.7,1.2,2.0,28.5,4.5,2.0,2.0,2.0,5.5
64,0.0,0.0,3.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
65,0.0,0.0,4.0,0.0,0.0,1.4,7.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
66,4.0,1.0,6.0,0.0,0.0,0.0,0.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,5.5
67,1.0,0.0,2.0,1.2,4.0,1.4,5.0,1.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
68,3.0,0.0,10.0,1.2,1.3,1.4,8.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
69,5.0,3.0,0.0,3.0,0.0,2.0,3.0,4.2,1.0,30.0,2.0,3.3,28.5,4.5,1.9,2.0,3.0,5.5
70,1.2,1.1,0.0,1.2,4.0,5.0,5.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,7.0,20.0
71,1.0,0.0,10.0,0.0,0.0,1.4,1.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
72,1.0,5.0,8.0,1.0,1.0,2.0,4.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,4.0
73,2.0,0.0,1.0,2.0,4.0,1.4,1.0,4.2,1.0,12.7,1.2,5.0,28.5,2.0,5.0,3.0,2.0,0.0
74,2.0,2.0,5.0,0.0,0.0,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,5.0
75,0.0,0.0,0.0,0.0,0.0,1.4,3.0,6.0,1.0,12.7,1.2,3.3,28.5,0.0,0.0,2.0,1.0,0.0
76,0.0,0.0,3.0,0.0,0.0,1.4,1.0,7.0,1.0,30.0,2.0,0.0,28.5,0.0,0.0,2.0,1.0,2.0
77,3.0,4.0,12.0,3.0,2.0,5.0,1.0,4.2,1.0,12.7,1.2,1.0,28.5,1.0,1.0,2.0,3.0,2.0
78,1.0,3.0,7.0,0.0,0.0,1.4,1.0,7.0,1.0,3.0,5.0,3.3,28.5,4.5,1.9,2.0,3.0,5.5
79,0.0,0.0,12.0,1.0,2.0,1.4,2.0,4.2,1.0,12.7,1.2,3.3,28.5,0.0,0.0,2.0,1.0,0.0
80,1.2,5.0,9.0,1.2,0.0,1.4,4.0,7.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,5.0,6.0
81,3.0,3.0,2.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
82,1.0,0.0,1.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
83,2.0,2.0,0.0,2.0,1.3,1.4,3.0,2.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,5.5
84,2.0,1.1,0.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
85,2.0,0.0,9.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
86,1.0,0.0,3.0,1.0,1.0,1.4,3.0,1.0,1.0,3.0,1.0,3.3,28.5,4.5,1.9,2.0,2.0,0.0
87,2.0,0.0,0.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
88,2.0,1.0,0.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
89,2.0,1.1,0.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
90,2.0,2.0,3.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
91,1.0,0.0,12.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
